rowIDs,year,source,authors,title,n.citations,ECC
1,2007,The Association for the Study of Animal Behaviour,"G Beauchamp, G D. Ruxton",False alarms and the evolution of antipredator vigilance,0,0
2,1817,researchgate.net,MH Gallardo,"Superfamily Cavioidea G. Fischer, 1817",0,0
3,1995,Canadian Journal of Zoology,S Nakano,Competitive interactions for foraging microhabitats in a size-structured interspecific dominance hierarchy of two sympatric stream salmonids in a natural habitat,2,2
4,1865,NA,B INSTIUTE,STEVE RAYNER,0,0
5,1886,NA,AW Besant,The Evolution of Society,8,8
6,1899,NA,H Jones,Social and Individual Evolution,0,0
7,1905,NA,WF Hadley,"Aggressive Behavior and Social Hierarchy in the Pinfish, Lagodon Rhomboides (Linnaeus)",0,0
8,1917,NA,BA MBiolSci,The causes and consequences of individual variation in cognitive ability in the cooperatively breeding Australian magpie (Cracticus tibicen dorsalis),0,0
9,1919,NA,EJ McCarey,PRACTICAL TOOLS FOR YOUR MORAL TOOLKIT: A LEADERSHIP GUIDE TO GROUP ETHICAL BEHAVIOR,0,0
10,1925,Collected papers,NS POINT,DR. GK NOBLE AMERICAN MUSEUM OF NATURAL HISTORY,0,0
11,1928,NA,TB Robertson,"Who are"" the Fit"" in Social Evolution?",0,0
12,1933,NA,T Treves,"Starke, CN, Laws of Social Evolution and Social Ideals",0,0
13,1934,Psychological Review,CL Hull,The concept of the habit-family hierarchy and maze learning: Part II.,55,55
14,1935,The Journal of Social â€¦,"C Murchison, CM Pomeratâ€¦",The Experimental Measurement of a Social Hierarchy in Gallus Domesticus: V. The Post-Mortem Measurement of Anatomical Features,16,16
15,1935,The Journal of General Psychology,C Murchison,The Experimental Measurement of a Social Hierarchy in Gallus Domesticus: I. the Direct Identification and Direct Measurement of Social Reflex no. 1 and Social Reflex no. 2,82,82
16,1936,The Pedagogical Seminary and Journal of Genetic â€¦,AH Maslow,The role of dominance in the social and sexual behavior of infra-human primates: IV. The determination of hierarchy in pairs and in a group,91,91
17,1936,The Pedagogical Seminary and Journal of Genetic â€¦,AH Maslow,The role of dominance in the social and sexual behavior of infra-human primates: I. Observations at Vilas Park Zoo,171,171
18,1937,Journal of Consulting Psychology,P Eisenberg,Factors related to feeling of dominance.,22,22
19,1937,Journal of Educational Psychology,AF Dodge,Social dominance of clerical workers and salespersons as measured by the Bernreuter personality inventory.,12,12
20,1938,Journal of Comparative Psychology,J Uhrich,The social hierarchy in albino mice.,241,241
21,1938,The Auk,"GK Noble, M Wurm, A Schmidt",Social behavior of the Black-crowned Night Heron,82,82
22,1939,The American Naturalist,GK Noble,The experimental animal from the naturalist's point of view,80,80
23,1939,The Journal of Abnormal and Social â€¦,"R Ruggles, GW Allport",Recent applications of the AS reaction study.,11,11
24,1940,Transactions of the New York Academy of Sciences,OH Mowrer,Animal studies in the genesis of personality.,53,53
25,1941,Psychological Review,TC Schneirla,"Social organization in insects, as related to individual function.",27,27
26,1942,The Wilson Bulletin,F Hamerstrom,Dominance in winter flocks of chickadees,55,55
